codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,presupuesto_total,provincia_ine,municipio_ine,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024,presupuesto_per_capita
1318,Gobierno Autónomo Municipal de Tacachi,Cochabamba,municipal,GAM,1363498.0,Punata,Tacachi,1076.0,1303.0,1287.0,645.0,642.0,1059.4390054390055
1319,Gobierno Autónomo Municipal Villa Gualberto Villarroel,Cochabamba,municipal,GAM,4771498.0,Punata,Villa Gualberto Villarroel,1942.0,2768.0,3822.0,1901.0,1921.0,1248.4296180010465
1320,Gobierno Autónomo Municipal de Tarata,Cochabamba,municipal,GAM,11827815.0,Esteban Arze,Tarata,8715.0,8242.0,11273.0,5617.0,5656.0,1049.2162689612348
1321,Gobierno Autónomo Municipal de Anzaldo,Cochabamba,municipal,GAM,7446837.0,Esteban Arze,Anzaldo,9126.0,7192.0,7335.0,3603.0,3732.0,1015.2470347648261
1322,Gobierno Autónomo Municipal de Arbieto,Cochabamba,municipal,GAM,35523205.0,Esteban Arze,Arbieto,9438.0,17445.0,29375.0,14187.0,15188.0,1209.3005957446808
1323,Gobierno Autónomo Municipal de Sacabamba,Cochabamba,municipal,GAM,4648017.0,Esteban Arze,Sacabamba,4718.0,4366.0,4987.0,2516.0,2471.0,932.0266693402847
1324,Gobierno Autónomo Municipal de Cliza,Cochabamba,municipal,GAM,36582558.0,Germán Jordán,Cliza,19747.0,21899.0,21155.0,10373.0,10782.0,1729.2629638383362
1325,Gobierno Autónomo Municipal de Toco,Cochabamba,municipal,GAM,10016954.0,Germán Jordán,Toco,6705.0,7057.0,7382.0,3740.0,3642.0,1356.9431048496342
1326,Gobierno Autónomo Municipal de Tolata,Cochabamba,municipal,GAM,15289728.0,Germán Jordán,Tolata,5316.0,5542.0,8687.0,4598.0,4089.0,1760.0699896396916
1327,Gobierno Autónomo Municipal de Capinota,Cochabamba,municipal,GAM,21527872.0,Capinota,Capinota,16945.0,19477.0,19427.0,9365.0,10062.0,1108.1418644155042
1328,Gobierno Autónomo Municipal de Santivañez,Cochabamba,municipal,GAM,11361634.0,Capinota,Santiváñez,6402.0,6527.0,7940.0,3966.0,3974.0,1430.9362720403024
1329,Gobierno Autónomo Municipal de Sicaya,Cochabamba,municipal,GAM,4373205.0,Capinota,Sicaya,2235.0,3740.0,3980.0,2071.0,1909.0,1098.7952261306532
