DEPARTAMEN,PROVINCIA,MUNICIPIO,CAPITAL,F_LEY_PROV,LEY_MUN,F_LEY_MUN,X,Y,MUN_ALTERN,PIB_USD2017,POB_ESTIMADA,POP_WORLDPOP_PONDERADOR,CELDAS_INTERSECTADAS,PIBPC_USD2017
Cochabamba,Capinota,Santivañez,Villa Santivañez,1908-10-01,ML,1908-10-01,-66.21801821,-17.573589014,Santivañez,24054837.771163154,6584.752330035002,6812.532820403434,4,3653.112002624902
Oruro,Cercado,Paria,Soracachi,1868-10-07,460,2013-12-19,-66.9359492214,-17.857730673,Soracachi,37573139.34847255,12935.798257132314,10301.150371394879,7,2904.5860643162187
La Paz,Gualberto Villarroel,Chacarilla,Chacarilla,1962-12-31,235,1962-12-31,-68.1697611869,-17.5482749349,Chacarilla,2812920.916298539,1443.3644373217057,1368.3738872205158,3,1948.8639483997333
Cochabamba,Germán Jordán,Tolata,Tolata,1945-11-13,1492,1993-09-16,-66.0027030562,-17.5266950606,Tolata,20175256.72370069,5957.5335015359715,6059.976627157001,3,3386.511669384504
Cochabamba,Esteban Arze,Arbieto,Arbieto,1950-11-10,563,1983-09-20,-66.0650641896,-17.5582753278,Arbieto,58749256.54276151,15513.140901108425,16863.904824192847,3,3787.0639425806953
La Paz,Gualberto Villarroel,Papel Pampa,Papel Pampa,1962-12-31,235,1962-12-31,-67.7095447501,-17.6972702962,Papel Pampa,16944949.66875031,8603.416011358553,5023.198430781555,4,1969.5606543236952
Pando,Nicolás Suárez,Cobija,Cobija,1951-09-08,1669,1995-10-31,-68.872017806,-11.0792699162,Cobija,196535053.75392067,75359.1567695848,28839.90160197014,4,2607.978408713337
La Paz,Aroma,Calamarca,Calamarca,1945-11-23,CSL,1948-12-21,-68.1124294585,-16.8904621363,Calamarca,25215730.259936072,10605.410357588142,13856.739647394184,3,2377.6289091816507
La Paz,Aroma,Colquencha,Colquencha,1945-11-23,1214,1990-12-14,-68.2569732273,-16.9918965684,Colquencha,19155306.743735883,8252.087871510705,11464.420155967551,4,2321.267907224688
La Paz,Larecaja,Combaya,Combaya,1826-10-18,1089,1989-02-21,-68.7534058325,-15.8159310384,Combaya,8613919.584857997,3977.468246741315,4027.4776522119064,2,2165.6790326145942
La Paz,Nor Yungas,Coroico,Coroico,1899-07-01,CSDS,1899-07-01,-67.7725586188,-16.162454603,Coroico,46335693.8418647,23549.271050039923,23258.676192045925,5,1967.6062899529175
La Paz,Nor Yungas,Coripata,Coripata,1899-07-01,CSDS,1899-07-01,-67.567327512,-16.209048406,Coripata,37922506.603558876,16958.26727425104,20006.638303574728,4,2236.225316553381
Cochabamba,Arani,Arani,Arani,1914-11-24,CSL,1914-11-24,-65.7265704639,-17.5927234328,Arani,31518060.551474914,11511.694287828963,9980.347218717994,2,2737.91674478345
Cochabamba,Punata,Punata,Villa Punata,1872-01-24,ML,1900-01-19,-65.8314316534,-17.5492548092,Punata,95709409.66340286,33064.09896091356,29601.889427218764,2,2894.6625697117865
La Paz,Pacajes,Nazacara de Pacajes,Nazacara de Pacajes,1856-03-29,1540,1994-03-17,-68.7575683859,-16.9264537666,Nazacara de Pacajes,2111922.2189839403,1270.900573132636,726.1247674597544,2,1661.7525112749572
La Paz,Pacajes,Caquiaviri,Caquiaviri,1856-03-29,ML,1959-12-14,-68.8177949459,-17.0852686111,Caquiaviri,24078103.13716757,13486.32243770753,16492.205259600676,9,1785.3720499700942
La Paz,Loayza,Luribay,Luribay,1899-05-29,CSDS,1899-05-29,-67.6347981638,-17.0938695975,Luribay,16016091.202189524,5826.631045299153,11578.132187557068,4,2748.773875962352
La Paz,Loayza,Malla,Malla,1899-05-29,461,1969-01-24,-67.426816094,-17.0114433363,Malla,17964528.867250286,9327.43031634626,5796.000661694605,4,1925.9890728711819
La Paz,Pacajes,Comanche,Comanche,1856-03-29,539,1983-03-02,-68.4501625276,-16.9504409325,Comanche,6945588.296319369,3021.3955206639903,4403.225054107825,3,2298.8014143851606
La Paz,Loayza,Sapahaqui,Sapahaqui,1899-05-29,CSL,1915-11-25,-67.8359722699,-16.9535815365,Sapahaqui,34654407.536086746,11100.428714854346,14251.88777821726,5,3121.8981199990044
